model,n < 15,15 ≤ n < 30,n ≥ 30,Overall
Rational Taper,50.617283950617285,59.57446808510638,31.428571428571427,49.079754601226995
NFW,29.62962962962963,34.04255319148936,60.0,37.423312883435585
Fixed MOND,3.7037037037037037,0.0,0.0,1.8404907975460123
Free MOND,16.049382716049383,6.382978723404255,8.571428571428571,11.656441717791411
